"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","28-Feb-2019","28-Mar-2019","CE","11600","7.1","8","4.05","4.6","4.5","4.6","3336","29036.64","13.44","152550","375","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","11600","4.25","6.15","4","4.3","4.15","4.3","2702","23516.49","9.09","176700","24150","-"
"NIFTY","05-Mar-2019","28-Mar-2019","CE","11600","2.55","7.3","2.55","6.8","6.4","6.8","6053","52683.22","22.12","160650","-16050","10987.45"
"NIFTY","06-Mar-2019","28-Mar-2019","CE","11600","7.25","8.45","6.1","8","8.05","8","10166","88501.56","57.36","274650","114000","11053"
"NIFTY","07-Mar-2019","28-Mar-2019","CE","11600","7.9","8.45","6.15","6.9","6.4","6.9","8459","73640.13","46.83","265800","-8850","11058.2"
"NIFTY","08-Mar-2019","28-Mar-2019","CE","11600","5.85","6.45","4.9","5.1","5","5.1","8543","74359.14","35.04","309825","44025","-"
"NIFTY","11-Mar-2019","28-Mar-2019","CE","11600","5.15","10.2","5","9.45","10.2","9.45","13396","116623.78","78.58","310425","600","11168.05"
"NIFTY","12-Mar-2019","28-Mar-2019","CE","11600","13.45","27.2","12","24.65","21.85","24.65","45890","399943.49","700.49","739500","429075","-"
"NIFTY","13-Mar-2019","28-Mar-2019","CE","11600","20.55","35.1","17.5","31.9","32.75","31.9","56364","491529.37","1162.57","1051050","311550","11341.7"
"NIFTY","14-Mar-2019","28-Mar-2019","CE","11600","31","37.15","22.15","29.45","30.15","29.45","47196","411642.19","1036.99","1301025","249975","11343.25"
"NIFTY","15-Mar-2019","28-Mar-2019","CE","11600","32.55","79.2","30.15","55.45","52.05","55.45","93509","817304.34","3776.04","1365450","64425","11426.85"
"NIFTY","18-Mar-2019","28-Mar-2019","CE","11600","59.15","84","42.75","60.1","75","60.1","122795","1073902.68","5586.18","2018925","653475","11462.2"
"NIFTY","19-Mar-2019","28-Mar-2019","CE","11600","69.15","78.5","50.25","74.3","77.55","74.3","94666","828305.03","4710.83","1644825","-374100","11532.4"
"NIFTY","20-Mar-2019","28-Mar-2019","CE","11600","73.95","73.95","54.9","58.2","59","58.2","131676","1151733.39","6152.19","2381325","736500","11521.05"
"NIFTY","22-Mar-2019","28-Mar-2019","CE","11600","64","69.55","20.45","24","23.3","24","406632","3549923.47","12225.07","3858300","1476975","11456.9"
"NIFTY","25-Mar-2019","28-Mar-2019","CE","11600","7","13.7","4.2","5.4","4.7","5.4","194979","1697242.93","925.63","3546675","-311625","11354.25"
"NIFTY","26-Mar-2019","28-Mar-2019","CE","11600","5.95","18.8","2.95","15.4","18.5","15.4","256339","2232017.15","1867.85","2439150","-1107525","-"
"NIFTY","27-Mar-2019","28-Mar-2019","CE","11600","20","30.5","2.55","3.7","2.8","3.7","653011","5688032.66","6836.96","3564000","1124850","11445.05"
"NIFTY","28-Mar-2019","28-Mar-2019","CE","11600","1.2","7.5","0.05","0.2","0.1","0","662791","5767130.33","848.63","3280200","-283800","-"
